x,y,z,ax,ay,az,aw,s,ss
1643.317,1151.324,0.03201118,-0.0,0.0,0.059437913477184134,-0.9982320043163707,0.0,0.0
909.48,1128.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0
909.486,1128.67,0.0,0.0,0.0,0.0,1.0,0.005999999999971806,0.005999999999971806
909.5,1128.67,0.0,0.0,0.0,0.0,1.0,0.01999999999998181,0.014000000000010004
909.51,1128.67,0.0,0.0,0.0,0.0,1.0,0.029999999999972715,0.009999999999990905
909.522,1128.67,0.0,0.0,0.0,0.0,1.0,0.04200000000003001,0.012000000000057298
909.612,1128.67,0.0,0.0,0.0,0.0,1.0,0.13199999999994816,0.08999999999991815
909.69,1128.67,0.0,0.0,0.0,0.0,1.0,0.21000000000003638,0.07800000000008822
909.786,1128.67,0.0,0.0,0.0,0.0,1.0,0.30599999999992633,0.09599999999988995
909.9,1128.67,0.0,0.0,0.0,0.0,1.0,0.4199999999999591,0.11400000000003274
909.986,1128.67,0.0,0.0,0.0,0.0,1.0,0.5059999999999718,0.08600000000001273
910.182,1128.67,0.0,0.0,0.0,0.0,1.0,0.7019999999999982,0.19600000000002638
910.35,1128.67,0.0,0.0,0.0,0.0,1.0,0.8700000000000045,0.16800000000000637
910.472,1128.67,0.0,0.0,0.0,0.0,1.0,0.9919999999999618,0.12199999999995725
910.74,1128.67,0.0,0.0,0.0,0.19591407266917468,0.9806210665339479,1.259999999999991,0.2680000000000291
910.961,1128.67,0.0,0.0,0.0,0.0,1.0,1.4809999999999945,0.22100000000000364
911.201,1128.67,0.0,0.0,0.0,0.1680226917691726,0.9857831277977127,1.7210000000000036,0.2400000000000091
911.459,1128.67,0.0,0.0,0.0,0.15682445868299955,0.9876264927384159,1.9789999999999281,0.2579999999999245
911.641,1128.67,0.0,0.0,0.0,0.0,1.0,2.1609999999999445,0.18200000000001637
912.131,1128.67,0.0,0.0,0.0,0.0,1.0,2.6509999999999536,0.4900000000000091
912.34,1128.67,0.0,0.0,0.0,0.0,1.0,2.8600000000000136,0.20900000000006003
